"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "MS SQL", "Prisma", "JavaScript", "Docker", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\parseTTL.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\redisRefreshString.utol.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\amqp\amqp.config.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\amqp\amqp.module.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\amqp\amqp.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\core.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\cron\deleteUnverifiedAuth.cron.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\prisma\prisma.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\prisma\prisma.service.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\redis\redis.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\redis\redis.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\core\redis\redis.service.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 21
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 2, 36
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\package-lock.json", "JSON", 0, 11666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11667
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\package.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\browser.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 25, 3, 35
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\client.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 35, 6, 55
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\commonInputTypes.ts", "TypeScript", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 9, 49, 505
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\enums.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9, 10, 35
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\internal\class.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 118, 32, 221
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\internal\prismaNamespace.ts", "TypeScript", 0, 0, 631, 0, 0, 0, 0, 0, 0, 0, 214, 159, 1004
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\internal\prismaNamespaceBrowser.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 33, 34, 151
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\models.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 9, 1, 14
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\models\Chat.ts", "TypeScript", 0, 0, 921, 0, 0, 0, 0, 0, 0, 0, 675, 117, 1713
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\models\ChatMember.ts", "TypeScript", 0, 0, 818, 0, 0, 0, 0, 0, 0, 0, 638, 105, 1561
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\generated\models\Message.ts", "TypeScript", 0, 0, 1135, 0, 0, 0, 0, 0, 0, 0, 680, 137, 1952
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\migrations\20260412200246_add_request_id\migration.sql", "MS SQL", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 21, 24, 107
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\migrations\20260416090658_fix_bugs\migration.sql", "MS SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 9, 2, 13
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 4, 13, 95
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\app.controller.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\app.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\auth-grpc.client.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\cors.config.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\grpc.config.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\swager.config.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\config\validation-pipe.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\errors\api\api.error.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\errors\api\default\defaultError.handler.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\errors\api\grpc\grpcError.handler.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\errors\api\http\httpError.handler.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\User\Desktop\NestAuth\microservices\chat-ms\src\common\errors\app.error.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
